session_key,gp_name,country,date
9472,Sakhir,Bahrain,2024-03-02T15:00:00+00:00
9480,Jeddah,Saudi Arabia,2024-03-09T17:00:00+00:00
9488,Melbourne,Australia,2024-03-24T04:00:00+00:00
9496,Suzuka,Japan,2024-04-07T05:00:00+00:00
9673,Shanghai,China,2024-04-21T07:00:00+00:00
9507,Miami,United States,2024-05-05T20:00:00+00:00
9515,Imola,Italy,2024-05-19T13:00:00+00:00
9523,Monaco,Monaco,2024-05-26T13:00:00+00:00
9531,Montréal,Canada,2024-06-09T18:00:00+00:00
9539,Barcelona,Spain,2024-06-23T13:00:00+00:00
9550,Spielberg,Austria,2024-06-30T13:00:00+00:00
9558,Silverstone,United Kingdom,2024-07-07T14:00:00+00:00
9566,Budapest,Hungary,2024-07-21T13:00:00+00:00
9574,Spa-Francorchamps,Belgium,2024-07-28T13:00:00+00:00
9582,Zandvoort,Netherlands,2024-08-25T13:00:00+00:00
9590,Monza,Italy,2024-09-01T13:00:00+00:00
9598,Baku,Azerbaijan,2024-09-15T11:00:00+00:00
9606,Marina Bay,Singapore,2024-09-22T12:00:00+00:00
9617,Austin,United States,2024-10-20T19:00:00+00:00
9625,Mexico City,Mexico,2024-10-27T20:00:00+00:00
9636,São Paulo,Brazil,2024-11-03T15:30:00+00:00
9644,Las Vegas,United States,2024-11-24T06:00:00+00:00
9655,Lusail,Qatar,2024-12-01T16:00:00+00:00
9662,Yas Island,United Arab Emirates,2024-12-08T13:00:00+00:00
